"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
200901,"Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","International","Europe","Passenger","Wide Body","Boeing","747","430",31,19530000
200901,"Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Passenger","Wide Body","Boeing","777","200",31,14260000
200901,"Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Freighter","Wide Body","Boeing","747","400F",22,14344000
200901,"Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Freighter","Wide Body","Boeing","747","400ERF",7,4571000
200901,"KLM Royal Dutch Airlines","KL","KLM Royal Dutch Airlines","KL","International","Europe","Passenger","Wide Body","McDonnell Douglas","MD-11","-",28,12321064
200901,"JetBlue Airways","B6","JetBlue Airways","B6","Domestic","US","Passenger","Regional Jet","Embraer","ERJ","190",124,12028372
200901,"JetBlue Airways","B6","JetBlue Airways","B6","Domestic","US","Passenger","Narrow Body","Airbus","A320","-",31,4408200
200901,"Jet Airways","9W","Jet Airways","9W","International","Asia","Passenger","Wide Body","Boeing","777","300ER",12,6634056
200901,"Japan Airlines","JL","Japan Airlines","JL","International","Asia","Passenger","Wide Body","Boeing","777","300ER",31,17174000
200901,"Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Passenger","Regional Jet","Bombardier","CRJ","700",85,5695000
200901,"Hawaiian Airlines","HA","Hawaiian Airlines","HA","Domestic","US","Passenger","Wide Body","Boeing","767","300",32,10140000
200901,"Frontier Airlines","F9","Frontier Airlines","F9","Domestic","US","Passenger","Narrow Body","Airbus","A319","-",69,9280500
200901,"Frontier Airlines","F9","Frontier Airlines","F9","Domestic","US","Passenger","Narrow Body","Airbus","A318","-",51,6451500
200901,"Federal Express","FX","Federal Express","FX","Domestic","US","Freighter","Wide Body","McDonnell Douglas","MD-11","-",16,7704000
200901,"Federal Express","FX","Federal Express","FX","Domestic","US","Freighter","Wide Body","McDonnell Douglas","DC-10","30",30,12924000
200901,"Federal Express","FX","Federal Express","FX","Domestic","US","Freighter","Wide Body","McDonnell Douglas","DC-10","10",18,6741000
200901,"Emirates","EK","Emirates","EK","International","Middle East","Passenger","Wide Body","Boeing","777","200ULR",14,6873538
200901,"EVA Airways","BR","EVA Airways","BR","International","Asia","Passenger","Wide Body","Boeing","777","300ER",47,26038000
200901,"EVA Airways","BR","EVA Airways","BR","International","Asia","Freighter","Wide Body","Boeing","747","400F",4,2608000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-90","-",12,1704000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-80","-",1,130000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Wide Body","Boeing","767","300ER",20,6400000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Wide Body","Boeing","767","300",9,2655000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Narrow Body","Boeing","757","-",174,34452000
200901,"Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Narrow Body","Boeing","737","800",139,20016000
200901,"China Cargo Airlines","CK","China Cargo Airlines","CK","International","Asia","Freighter","Wide Body","McDonnell Douglas","MD-11","-",10,4714950
200901,"China Airlines","CI","China Airlines","CI","International","Asia","Freighter","Wide Body","Boeing","747","400F",9,5994000
200901,"China Airlines","CI","China Airlines","CI","International","Asia","Passenger","Wide Body","Boeing","747","400",31,19530000
200901,"Cathay Pacific","CX","Cathay Pacific","CX","International","Asia","Freighter","Wide Body","Boeing","747","400F",5,3330000
200901,"Cathay Pacific","CX","Cathay Pacific","CX","International","Asia","Passenger","Wide Body","Boeing","747","400",62,39060000
200901,"British Airways","BA","British Airways","BA","International","Europe","Passenger","Wide Body","Boeing","747","400",62,39060000
200901,"Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Passenger","Wide Body","Boeing","777","200ER",22,10120000
200901,"Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Freighter","Wide Body","Boeing","747","400F",26,17316000
200901,"Ameriflight","A8","Ameriflight","A8","Domestic","US","Freighter","Turbo Prop","Fairchild","SA-227","-",46,644000
200901,"Ameriflight","A8","Ameriflight","A8","Domestic","US","Freighter","Turbo Prop","Beechcraft","B-99","-",1,10900
